"Part";"Value";"Device";"Package";"Description";"";
"C0";"8p2";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C1";"4u7";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C3";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C4";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"4u7";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C7";"4u7";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C8";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CC1";"1000p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CC2";"1000p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CC3";"1000p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CM";"13p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CM1";"9p1";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CM2";"9p1";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CM3";"9p1";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CR1";"3p9";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CR2";"2p2";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"IC1";"FT232RL";"FT232RL";"SSOP28";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";
"L0";"30nH";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"L1";"";"SM-B5";"SM-B5";"INDUCTOR";"";
"LCHOKE";"220nH";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"LM1";"27nH";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"LM2";"22nH";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"LM3";"15nH";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"LR1";"56nH";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"LR2";"51nH";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"QG1";"ASV-4.000MHZ-EJ-T";"SM77H";"SM77H";"3.3V CMOS Clock Oscillator";"";
"R1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R2";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"U$1";"I538-2P3-32.000 MHZ";"ASE";"ASE";"3.3Vdc CMOS SMD CRYSTAL CLOCK OSCILLATOR";"";
"U$2";"";"USB_TYPE_A";"USB_A_THT";"";"";
"U1";"SI4463-C2A-GM";"SI4463-C2A-GM";"QFN50P400X400X90-20N";"RF Transceiver FSK/GFSK/GMSK/MSK/OOK 3.3V 20-Pin QFN EP";"";
"U2";"CG2179M2";"CG2179M2";"SOT363";"";"";
"U3";"STM32L031K6T6";"STM32L011";"LQFP32-7X7";"";"";
"X1";"SMA";"SMA-142-0711-821/826";"J502-ND-142-0711-821/826";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"";
